flow_id,src_ip,dst_ip,src_port,dst_port,total_flow_packets,total_fw_packets,total_bw_packets,flow_duration,flow_down_up_ratio,flow_total_SYN_flag,flow_total_RST_flag,flow_total_PSH_flag,flow_total_ACK_flag,flow_total_URG_flag,flow_total_CWE_flag,flow_total_ECE_flag,flow_total_FIN_flag,flow_start_timestamp,flow_end_timestamp,flow_total_http_get_packets,flow_total_http_2xx_packets,flow_total_http_4xx_packets,flow_total_http_5xx_packets,flow_websocket_packts_per_second,fw_websocket_packts_per_second,bw_websocket_packts_per_second,flow_websocket_bytes_per_second,fw_websocket_bytes_per_second,bw_websocket_bytes_per_second,flow_total_websocket_ping_packets,flow_total_websocket_pong_packets,flow_total_websocket_close_packets,flow_total_websocket_data_messages,flow_total_ocpp16_heartbeat_packets,flow_total_ocpp16_resetHard_packets,flow_total_ocpp16_resetSoft_packets,flow_total_ocpp16_unlockconnector_packets,flow_total_ocpp16_starttransaction_packets,flow_total_ocpp16_remotestarttransaction_packets,flow_total_ocpp16_authorize_not_accepted_packets,flow_total_ocpp16_setchargingprofile_packets,flow_avg_ocpp16_setchargingprofile_limit,flow_max_ocpp16_setchargingprofile_limit,flow_min_ocpp16_setchargingprofile_limit,flow_avg_ocpp16_setchargingprofile_minchargingrate,flow_min_ocpp16_setchargingprofile_minchargingrate,flow_max_ocpp16_setchargingprofile_minchargingrate,flow_total_ocpp16_metervalues,flow_min_ocpp16_metervalues_soc,flow_max_ocpp16_metervalues_soc,flow_avg_ocpp16_metervalues_wh_diff,flow_max_ocpp16_metervalues_wh_diff,flow_min_ocpp16_metervalues_wh_diff,label
192.168.21.128-192.168.21.70-60850-80,192.168.21.128,192.168.21.70,60850,80,56,27,29,114427540.0,1.0740740740740742,3,0,28,54,0,0,0,0,1682613145690196.0,1682613260117736.0,1,0,0,0,2.2721802810756925e-07,1.1360901405378461e-07,1.1360901405378461e-07,3.48342715398e-05,8.520676054e-06,2.63135954858e-05,3,3,0,20,1,0,0,0,0,0,0,5,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.225-192.168.21.70-41402-80,192.168.21.225,192.168.21.70,41402,80,1713,949,764,119856379.0,0.8050579557428873,0,0,962,1713,0,0,0,0,1719310683027172.0,1719310802883551.0,0,0,0,0,8.0262728444e-06,3.9881064653e-06,4.0381663791e-06,0.0006143602919958,0.0002632150267112,0.0003511452652845,0,0,0,962,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.128-192.168.21.70-42252-80,192.168.21.128,192.168.21.70,42252,80,52,25,27,119401097.0,1.08,0,0,27,52,0,0,0,0,1682529426078927.0,1682529545480024.0,0,0,0,0,2.2612857568636919e-07,1.0887672162677032e-07,1.1725185405959881e-07,3.43882937691e-05,4.3885693948e-06,2.99997243743e-05,6,5,0,16,2,0,0,0,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
192.168.21.128-192.168.21.70-37712-80,192.168.21.128,192.168.21.70,37712,80,125,61,64,118740649.0,1.0491803278688523,0,0,65,125,0,0,0,0,1683639417366681.0,1683639536107330.0,0,0,0,0,5.474115271173901e-07,2.6949490565779204e-07,2.779166214595981e-07,5.77561269687e-05,4.70942347636e-05,1.0661892205e-05,4,4,0,57,0,0,0,0,5,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
192.168.21.128-192.168.21.70-37290-80,192.168.21.128,192.168.21.70,37290,80,124,64,60,116624074.0,0.9375,0,0,67,124,0,0,0,0,1683679602746314.0,1683679719370388.0,0,0,0,0,5.744954510849965e-07,2.829604460567893e-07,2.915350050282072e-07,5.77753783494e-05,4.80346793578e-05,9.7406989915e-06,6,5,0,56,0,0,0,0,4,4,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
192.168.21.225-192.168.21.70-46459-80,192.168.21.225,192.168.21.70,46459,80,11,6,5,20484.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719082936775291.0,1719082936795775.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.128-192.168.21.70-49230-80,192.168.21.128,192.168.21.70,49230,80,49,24,25,109143402.0,1.0416666666666667,0,0,25,49,0,0,0,0,1682568976926304.0,1682569086069706.0,0,0,0,0,2.2905644813966858e-07,1.0994709510704093e-07,1.1910935303262766e-07,3.74369858839e-05,4.6910760579e-06,3.2745909826e-05,5,4,0,16,2,0,0,0,0,0,0,6,10.0,10,10,3.0,3,3,0,0.0,0.0,0.0,0,0,normal
192.168.21.225-192.168.21.70-41772-80,192.168.21.225,192.168.21.70,41772,80,11,6,5,9968.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719083473870648.0,1719083473880616.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.128-192.168.21.70-47754-80,192.168.21.128,192.168.21.70,47754,80,21,7,14,61056976.0,2.0,0,1,13,20,0,0,0,2,1682650970978320.0,1682651032035296.0,0,0,0,0,2.129158836821529e-07,4.913443469588144e-08,1.637814489862715e-07,6.77072510109e-05,7.697728102354759e-07,6.69374782006e-05,3,1,0,9,1,0,0,0,0,0,0,6,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.225-192.168.21.70-46540-80,192.168.21.225,192.168.21.70,46540,80,11,6,5,5610.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719082626280756.0,1719082626286366.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.225-192.168.21.70-41002-80,192.168.21.225,192.168.21.70,41002,80,1723,953,770,119802209.0,0.8079748163693599,0,0,958,1723,0,0,0,0,1719312482951457.0,1719312602753666.0,0,0,0,0,7.9965136536e-06,3.9899097353e-06,4.0066039182e-06,0.0006117332945004,0.00026333404253,0.0003483992519703,0,0,0,958,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.225-192.168.21.70-47852-80,192.168.21.225,192.168.21.70,47852,80,11,6,5,3800.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719082184134061.0,1719082184137861.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.70-192.168.21.128-80-37712,192.168.21.70,192.168.21.128,80,37712,123,60,63,104297494.0,1.05,0,0,65,123,0,0,0,0,1683642671684584.0,1683642775982078.0,0,0,0,0,6.232172749999153e-07,3.068146584614968e-07,3.164026165384185e-07,6.59267997369e-05,1.10069758723e-05,5.49198238646e-05,4,4,0,57,0,0,0,0,4,5,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
192.168.21.128-192.168.21.70-41016-80,192.168.21.128,192.168.21.70,41016,80,32,14,18,34480391.0,1.2857142857142858,3,0,14,30,0,0,0,2,1682664812874012.0,1682664847354403.0,1,0,0,0,3.480238956687005e-07,1.7401194783435025e-07,1.7401194783435025e-07,3.77025886974e-05,1.87932903661e-05,1.89092983313e-05,1,1,0,10,0,0,0,0,0,0,0,1,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.225-192.168.21.70-57265-80,192.168.21.225,192.168.21.70,57265,80,11,6,5,18247.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719083035232918.0,1719083035251165.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.225-192.168.21.70-34758-80,192.168.21.225,192.168.21.70,34758,80,11,6,5,5014.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719083326917441.0,1719083326922455.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.70-192.168.21.128-80-40982,192.168.21.70,192.168.21.128,80,40982,4,3,1,35366029.0,0.3333333333333333,0,0,4,4,0,0,0,0,1682664764200828.0,1682664799566857.0,0,0,0,0,1.1310288751954597e-07,8.482716563965948e-08,2.8275721879886488e-08,6.49210574362e-05,4.86907930771e-05,1.6230264359e-05,0,0,0,4,0,0,0,0,0,0,0,4,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.128-192.168.21.70-48966-80,192.168.21.128,192.168.21.70,48966,80,45,22,23,116924690.0,1.0454545454545454,0,0,23,45,0,0,0,0,1682681126997493.0,1682681243922183.0,0,0,0,0,1.9670781252445485e-07,9.407764946821753e-08,1.026301630562373e-07,2.94377517699e-05,3.7802110059e-06,2.5657540764e-05,5,4,0,14,2,0,0,0,0,0,0,5,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.70-192.168.21.128-80-39252,192.168.21.70,192.168.21.128,80,39252,9,4,5,81645351.0,1.25,0,0,5,9,0,0,0,0,1682607640908296.0,1682607722553647.0,0,0,0,0,6.124047405957017e-08,4.8992379247656126e-08,1.2248094811914032e-08,3.51520321101e-05,2.81216256881e-05,7.030406422e-06,0,0,0,5,0,0,0,0,0,0,0,5,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.70-192.168.21.128-80-55498,192.168.21.70,192.168.21.128,80,55498,125,67,58,115225860.0,0.8656716417910447,0,0,68,125,0,0,0,0,1683776955501140.0,1683777070727000.0,0,0,0,0,5.901453024520712e-07,2.950726512260356e-07,2.950726512260356e-07,6.17048985357e-05,1.03101855781e-05,5.13947129576e-05,4,4,0,60,0,0,0,0,4,4,4,0,0.0,0,0,0.0,0,0,9,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
192.168.21.128-192.168.21.70-46830-80,192.168.21.128,192.168.21.70,46830,80,59,28,31,34468589.0,1.1071428571428572,0,0,31,59,0,0,0,0,1683805296124867.0,1683805330593456.0,0,0,0,0,8.99369568043531e-07,4.351788232468698e-07,4.641907447966611e-07,0.0001025571426785,8.50049301408e-05,1.75522125376e-05,2,2,0,27,0,0,0,0,3,1,2,0,0.0,0,0,0.0,0,0,4,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
192.168.21.225-192.168.21.70-51652-80,192.168.21.225,192.168.21.70,51652,80,11,6,5,6583.0,0.8333333333333334,3,0,2,9,0,0,0,2,1719082565635261.0,1719082565641844.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_unauthorized_access
192.168.21.225-192.168.21.70-41464-80,192.168.21.225,192.168.21.70,41464,80,1732,955,777,119795208.0,0.8136125654450261,0,0,958,1732,0,0,0,0,1719313563107390.0,1719313682902598.0,0,0,0,0,7.996980981e-06,3.9901429112e-06,4.0068380698e-06,0.0006117690450522,0.0002633494321408,0.0003484196129113,0,0,0,958,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.70-192.168.21.128-80-60208,192.168.21.70,192.168.21.128,80,60208,40,19,21,104569107.0,1.105263157894737,0,0,21,40,0,0,0,0,1682678074339716.0,1682678178908823.0,0,0,0,0,2.008241305914566e-07,9.56305383768841e-08,1.0519359221457253e-07,3.2227491433e-05,2.31617163948e-05,9.0657750381e-06,4,4,0,13,2,0,0,0,0,0,0,5,90.0,90,90,3.0,3,3,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_fdi_chargingprofile
192.168.21.225-192.168.21.70-41758-80,192.168.21.225,192.168.21.70,41758,80,1682,955,727,119865399.0,0.7612565445026178,0,0,956,1682,0,0,0,0,1719308043242594.0,1719308163107993.0,0,0,0,0,7.975612712e-06,3.987806356e-06,3.987806356e-06,0.0006099591759586,0.0002631952194978,0.0003467639564608,0,0,0,956,479,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.128-192.168.21.70-46148-80,192.168.21.128,192.168.21.70,46148,80,122,60,62,97866585.0,1.0333333333333334,0,0,63,122,0,0,0,0,1683728022317014.0,1683728120183599.0,0,0,0,0,6.437335072026882e-07,3.167577575124339e-07,3.269757496902544e-07,6.73161324674e-05,5.66689846181e-05,1.06471478492e-05,5,4,0,54,0,0,0,0,4,3,4,0,0.0,0,0,0.0,0,0,8,0.0,0.0,0.0,0,0,cyberattack_ocpp16_doc_idtag
